,Variable Name,Description
499,SMKLSCR2,Smokeless tobacco freq: every day/some days/not at all
500,VIGNO,Freq vigorous activity: # of units
501,VIGTP,Freq vigorous activity: Time units
502,VIGFREQW,Freq vigorous activity (times per wk)
503,VIGLNGNO,Duration vigorous activity: # units
504,VIGLNGTP,Duration vigorous activity: Time unit
505,VIGMIN,Duration vigorous activity (in minutes)
506,MODNO,Freq moderate activity: # of units
507,MODTP,Freq moderate activity: Time units
508,MODFREQW,Freq light/moderate activity (times per wk)
509,MODLNGNO,Duration moderate activity: # of units
510,MODLNGTP,Duration moderate activity: Time unit
511,MODMIN,Duration light/moderate activity (in minutes)
512,STRNGNO,Strength activity freq: # of units
513,STRNGTP,Strength activity freq: Time units
514,STRFREQW,Freq strength activity (times per wk)
515,ALC1YR,Ever had 12+ drinks in any  one year
516,ALCLIFE,Had 12+ drinks in ENTIRE LIFE
517,ALC12MNO,Freq drank alcohol pst yr:  # of units
518,ALC12MTP,Freq drank alcohol pst yr:  Time unit
519,ALC12MWK,Freq drank alcohol: Days per week
520,ALC12MYR,Freq drank alcohol: Days in past year
521,ALCAMT,Average # drinks on days drank
522,ALCSTAT,Alcohol drinking status: Recode
523,ALC5UPN1,"Days 5+/4+ drinks, past yr: # days"
524,ALC5UPT1,"Days 5+/4+ drinks, past yr: Time unit"
525,ALC5UPY1,Number of days had 5+/4+ drinks past year
526,BINGE1,"Number of times had 5+/4+ drinks on AN OCCASION, past 30 days"
527,AHEIGHT,Total height in inches
528,AWEIGHTP,Weight without shoes (pounds)
529,BMI,Body Mass Index (BMI)
530,AUSUALPL,Place USUALLY go when sick
531,APLKIND,Place to go when sick (most often)
532,AHCPLROU,USUALLY go there for routine/preventive care
533,AHCPLKND,Place USUALLY go for routine/preventive care
534,AHCCHGYR,"Change health care place, past 12 m"
535,AHCCHGHI,Change related to health insurance
536,APRVTRYR,"Trouble finding a doctor/provider, past 12 m"
537,APRVTRFD,"Able to find doctor/provider, past 12 m"
538,ADRNANP,"Doctor's office not accept you as new patient, past 12 m"
539,ADRNAI,"Doctor's office not accept your health insurance, past 12 m"
540,AHCDLYR1,"Couldn't get through on phone, past 12 m"
541,AHCDLYR2,"Couldn't get appointment soon enough, past 12 m"
542,AHCDLYR3,"Wait too long in doctor's office, past 12 m"
543,AHCDLYR4,"Not open when you could go, past 12 m"
544,AHCDLYR5,"No transportation, past 12 m"
545,AHCAFYR1,"Couldn't afford prescription medicine, past 12 m"
546,AHCAFYR2,"Couldn't afford mental health care/counseling, past 12 m"
547,AHCAFYR3,"Couldn't afford dental care, past 12 m"
548,AHCAFYR4,"Couldn't afford eyeglasses, past 12 m"
549,AHCAFYR5,"Couldn't afford to see a specialist, past 12 m"
550,AHCAFYR6,"Couldn't afford follow-up care, past 12 m"
551,AWORPAY,"Get sick or have accident, worried about paying medical bills"
552,AHICOMP,Health insurance coverage compared to a year ago
553,ARX12MO,"Prescribed medication by doctor/health professional, past 12 m"
554,ARX12_1,"Skipped medication doses to save money, past 12 m"
555,ARX12_2,"Took less medicine to save money, past 12 m"
556,ARX12_3,"Delayed filling a prescription to save money, past 12 m"
557,ARX12_4,"Asked doctor for lower cost medication to save money, past 12 m"
558,ARX12_5,"Bought prescription drugs from another country to save money, past 12 m"
559,ARX12_6,"Used alternative therapies to save money, past 12 m"
560,ADNLONG2,Time since last saw a dentist
561,AHCSYR1,"Seen/talked to mental health professional, past 12 m"
562,AHCSYR2,"Seen/talked to eye doctor, past 12 m"
563,AHCSYR3,"Seen/talked to foot doctor, past 12 m"
564,AHCSYR4,"Seen/talked to a chiropractor, past 12 m"
565,AHCSYR5,"Seen/talked to therapist (PT/OT/etc.), past 12 m"
566,AHCSYR6,"Seen/talked to a NP/PA/midwife, past 12 m"
567,AHCSYR7,"Seen/talked to OB/GYN, past 12 m"
568,AHCSYR8,"Seen/talked to a medical specialist, past 12 m"
569,AHCSYR9,"Seen/talked to a general doctor, past 12 m"
570,AHCSYR10,Doctor treats both kids and adults
571,AHERNOY2,"# times in ER/ED, past 12 m"
572,AERVISND,ER visit at night or on weekend
573,AERHOS,ER visit resulted in hospital admission
574,AERREA1R,ER visit because didn't have another place to go
575,AERREA2R,ER visit because doctors office or clinic was not open
576,AERREA3R,ER visit because advised by health provider to go
577,AERREA4R,ER visit because problem too serious for doctor's office/clinic
578,AERREA5R,ER visit because only hospital could help
579,AERREA6R,ER visit because it is closest provider
580,AERREA7R,ER visit because it is usual place to get care
581,AERREA8R,Arrived at ER by ambulance/other emergency vehicle
582,AHCHYR,"Received home care from health professional, past 12 m"
583,AHCHMOYR,"# months of home care, past 12 m"
584,AHCHNOY2,Total number of home visits
585,AHCNOYR2,"Total number of office visits, past 12 m"
586,ASRGYR,"Surgery/surgical procedure, past 12 m"
587,ASRGNOYP,"# of surgeries, past 12 m"
588,AMDLONGR,Time since last seen/talked to health professional
589,HIT1A,"Looked up health information on Internet, past 12 m"
590,HIT2A,"Filled a prescription on Internet, past 12 m"
591,HIT3A,"Scheduled medical appointment on Internet, past 12 m"
592,HIT4A,"Communicated with health care provider by email, past 12 m"
593,HIT5A,"Used chat groups to learn about health topics, past 12 m"
594,FLUVACYR,"Flu vaccination, past 12 m"
595,FLUVACTP,Administration method of most recent flu vaccine
596,FLUVAC_M,Month of most recent flu vaccine
597,FLUVAC_Y,Year of most recent flu vaccine
598,FLUSHPG1,"Flu shot before/during current pregnancy, interviewed Jan-Mar or Aug-Dec,"
599,FLUSHPG2,Flu shot before/during/after a pregnancy
600,SHTPNUYR,Pneumonia shot (EVER)
601,APOX,Ever had chickenpox
602,APOX12MO,"Chickenpox, past 12 m"
603,AHEP,Ever had hepatitis
604,AHEPLIV,Ever lived w/ someone w/ hepatitis
605,AHEPBTST,Ever had a blood test for hepatitis B
606,SHTHEPB,Hepatitis B vaccine (EVER)
607,SHEPDOS,# doses of hepatitis B vaccine received
608,SHTHEPA,Hepatitis A vaccine (EVER)
609,SHEPANUM,# shots of hepatitis A vaccine received
610,AHEPCTST,Ever had a blood test for hepatitis C
611,AHEPCRES,Main reason tested for Hepatitis C
612,SHINGLES,Ever had the Zoster or Shingles vaccine
613,SHTTD,Tetanus shot in the past 10 years
614,SHTTDAP2,Vaccine included pertussis/whooping cough
615,SHTHPV2,Ever received HPV shot/vaccine
616,SHHPVDOS,Number of HPV shots received
617,AHPVAGE,Age at first HPV shot
618,LIVEV,Ever told you had any kind of chronic/long-term liver condition
619,TRAVEL,"Ever traveled outside USA since 1995 (Excluding EUR, JPN, AUS, NZL, and"
620,WRKHLTH2,Work or volunteer in a health care setting
621,WRKDIR,Direct contact with patients
622,APSBPCHK,"Blood pressure checked by doctor/nurse/health professional, past 12 m"
623,APSCHCHK,"Cholesterol checked by doctor/nurse/health professional, past 12 m"
624,APSBSCHK,"Fasting test for high blood sugar/diabetes, past 12 m"
625,APSPAP,"Pap smear/test, past 12 m"
626,APSMAM,"Mammogram, past 12 m"
627,APSCOL,"Test for colon cancer, past 12 m"
628,APSDIET,"Doctor/health professional talked to you about diet, past 12 m"
629,APSSMKC,"Doctor/health professional talked to you about smoking, past 12 m"
630,AINDINS2,"Tried to purchase health insurance directly, past 3 yrs"
631,AINDPRCH,"Purchased health insurance directly, past 3 yrs"
632,AINDWHO,"For whom was health insurance purchased, past 3 yrs"
633,AINDDIF1,"How difficult to find health insurance for coverage needed, past 3 yrs"
634,AINDDIF2,"How difficult to find affordable health insurance, past 3 yrs"
635,AEXCHNG,Looked into purchasing health insurance through Healthcare.gov or
636,CLAS1,Important for providers to understand/share culture
637,CLAS2,How often able to see providers who share culture
638,CLAS3,How often treated w/ respect by providers
639,CLAS4,How often providers ask opinions/beliefs about care
640,CLAS5,How often providers give information easy to understand
641,ASICPUSE,How often do you use a computer
642,ASISATHC,"How satisfied with health care, past 12 mo"
643,ASITENUR,Length of time living in neighborhood
644,ASINHELP,Agree/disagree...people in neighborhood help each other
645,ASINCNTO,Agree/disagree...people I count on in neighborhood
646,ASINTRU,Agree/disagree...people in neighborhood can be trusted
647,ASINKNT,Agree/disagree...close-knit neighborhood
648,ASISIM,How you think of yourself (sexual orientation; male)
649,ASISIF,How do you think of yourself (sexual orientation; female)
650,ASIRETR,How worried are you about...money for retirement
651,ASIMEDC,How worried are you about...medical costs of illness/accident
652,ASISTLV,How worried are you about...maintaining standard of living
653,ASICNHC,How worried are you about...medical costs of healthcare
654,ASICCOLL,How worried are you about...paying for children's college
655,ASINBILL,How worried are you about...paying monthly bills
656,ASIHCST,How worried are you about...paying rent/mortgage/housing costs
657,ASICCMP,How worried are you about...credit card payments
658,ASISLEEP,Hours of sleep
659,ASISLPFL,"# times having trouble falling asleep, past week"
660,ASISLPST,"# times having trouble staying asleep, past week"
661,ASISLPMD,"# times taking medication for sleep, past week"
662,ASIREST,"Days woke up feeling rested, past week"
663,ASISAD,"So sad nothing cheers you up, past 30 days"
664,ASINERV,"How often felt nervous, past 30 days"
665,ASIRSTLS,"How often restless/fidgety, past 30 days"
666,ASIHOPLS,"How often felt hopeless, past 30 days"
667,ASIEFFRT,"How often felt everything was an effort, past 30 days"
668,ASIWTHLS,"How often felt worthless, past 30 days"
669,ASIMUCH,"Feelings interfered w/ life, past 30 days"
670,ASIHIVT,Ever been tested for HIV
671,ASIHIVWN,Main reason not tested for HIV
672,NAT_USM1,"Saw a practitioner for naturopathy, past 12 months"
673,CHE_USM1,"Saw a practitioner for chelation therapy, past 12 months"
674,TRD_USM1,"Saw a practitioner for Traditional Medicine, past 12 months"
675,TR_USM21,"Saw a Shaman, past 12 months"
676,TR_USM22,"Saw a Curandero, Machi or Parchero, past 12 months"
677,TR_USM23,"Saw a Yerbero or Hierbista, past 12 months"
678,TR_USM24,"Saw a Sobador, past 12 months"
679,TR_USM25,"Saw a Native American Healer or Medicine Man, past 12 months"
680,TR_USM26,"Other Traditional Healer, past 12 months"
681,HOM_USM1,"Saw a practitioner for homeopathy, past 12 months"
682,MBO_MAN1,"Used mantra meditation, past 12 months"
683,MBO_MND1,"Used mindfulness meditation, past 12 months"
684,MBO_SPR1,"Used spiritual meditation, past 12 months"
685,MBO_IMG1,"Used guided imagery, past 12 months"
686,MBO_PRO1,"Used progressive relaxation, past 12 months"
687,YTQU_YG1,"Practiced yoga, past 12 months"
689,YTQ_BTY1,Did breathing exercises as part of yoga
690,YTQ_MDY1,Did meditation as part of yoga
691,YTQU_TA1,"Practiced tai chi, past 12 months"
692,YTQ_BTT1,Did breathing exercises as part of tai chi
693,YTQ_MDT1,Did meditation as part of tai chi
694,YTQU_QG1,"Practiced qi gong, past 12 months"
695,YTQ_BTQ1,Did breathing exercises as part of qi gong
696,YTQ_MDQ1,Did meditation as part of qi gong
697,AWEBUSE,Internet use
698,AWEBOFNO,Frequency internet use: # of units
699,AWEBOFTP,Frequency internet use: Time units
700,AWEBEML,Email use
701,AWEBMNO,Frequency email use: # of units
702,AWEBMTP,Frequency email use: Time units
