,Variable Name,Description
536,PRTNRSEX_A,Sex of the sample adult's partner
537,PRTNRAGETC_A,"Age of sample adult's partner, top-coded"
538,PRTNREDUC_A,Education level of sample adult's partner
539,PRTNRWRK_A,Working status of sample adult's partner
540,PRTNRWKFT_A,Sample adult's partner is working full-time
541,SAPARENTSC_A,Sample adult relationship to sample child
542,PARSTAT_A,Parental Status of sample adult
543,AFVET_A,Ever serve active duty military
544,AFVETTRN_A,Reserves or National Guard
545,COMBAT_A,Ever served abroad during armed conflict
546,VADISB_A,Have VA disability rating
547,VAHOSP_A,Receive care at VA facility
548,VACAREEV_A,Ever use VA health care
549,NATUSBORN_A,Born in U.S. or U.S. territory
550,YRSINUS_A,Years that sample adult has been in the United States
551,CITZNSTP_A,Citizenship status
552,SCHCURENR_A,Currently in school
553,SCHDYMSSTC_A,"Days missed due to illness/injury, past 12 m"
554,EMPWRKLSWK_A,Worked last week
555,EMPWKHRS2_A,Hours worked last week (topcoded for Public Use)
556,EMPWRKFT_A,Usually work 35+ hours per week
557,EMPRSNOWK_A,Main reason for not working last week
558,EMPLSTWORK_A,Last time worked for pay
559,EMDINDSTR1_A,Detailed 2-digit recode for sample adult's industry
560,EMDINDSTR2_A,Simple 2-digit recode for sample adult's industry
561,EMDOCCUPR1_A,Detailed 2-digit recode for sample adult's occupation
562,EMDOCCUPR2_A,Simple 2-digit recode for sample adult's occupation
563,EMDSPRVIS_A,Sample adult supervised other employees while on the job
564,EMDWRKCAT_A,Type of main job
565,EMPPDSKLV_A,Received paid sick leave at last week's job or business
566,EMPOFFHI_A,Health insurance offered at job held last week
567,EMPDYSMSS2_A,"Days missed work in past 12 months due toillness/injury/disability (top-coded)"
568,CURJOBSD_A,Current job - Social distancing at work
569,WRKCLSSD_A,"Current job - Work close to others with socialdistancing in effect"
570,WRKCLSNOSD_A,"Current job - Work close to others when socialdistancing not in effect"
571,WRKCLSOFT_A,Current job - How often work close to others
572,SDMSRS_A,"Current job - Social distancing measures sincecoronavirus pandemic"
573,SDMSRSOFT_A,"Current job - Work close to others when socialdistancing measures in effect"
574,RECJOBSD_A,Recent job - Social distancing at work
575,RJWRKCLSSD_A,"Recent job - Work close to others with social distancingin effect"
576,RJWCLSNOSD_A,"Recent job - Work close to others when social distancingnot in effect"
577,RJWKCLSOFT_A,Recent job - How often work close to others
578,JOBANYSD_A,Current or recent job - Social distancing at any time
579,CLSWRKSD_A,"Current or recent job - Work close to others with socialdistancing in effect"
580,CLSWRKNOSD_A,"Current or recent job - Work close to others when nosocial distancing measures"
581,PCNTADTWKP_A,"Number of adults in sample adult's family who areworking"
582,PCNTADTWFP_A,"Number of adults in sample adult's family who areworking full-time"
583,INCWRKO_A,Income from wages
584,INCINTER_A,Income from accounts
585,INCSSRR_A,Income from SS/Railroad Retirement
586,INCSSISSDI_A,Family income from SSDI
587,SSISSDIBTH_A,Which family income SSI/SSDI
588,SSISSDIDSB_A,SSI/SSDI due to disability
589,INCWELF_A,Income from public assistance
590,INCRETIRE_A,Income from retirement
591,INCOTHR_A,Income from other sources
592,FAMINCTC_A,Sample adult family income (top-coded)
593,POVRATTC_A,SA family poverty ratio (top-coded)
594,INCGRP_A,Sample adult family income (grouped)
595,RATCAT_A,"Ratio of family income to poverty threshold for SA'sfamily"
596,IMPINCFLG_A,Imputed SA family income imputation flag
597,INCTCFLG_A,Sample adult family income top-code flag
598,FSNAP12M_A,"Receive food stamps, past 12m"
599,FSNAP30D_A,"Receive food stamps, past 30d"
600,FWIC12M_A,"Receive WIC benefits, past 12m"
601,FLUNCH12M_A,Receive free/reduced meals at school
602,FDSRUNOUT_A,Worry food would run out
603,FDSLAST_A,Food didn't last
604,FDSBALANCE_A,Couldn't afford to eat balanced meals
605,FDSSKIP_A,Cut the size of meals or skip meals
606,FDSSKIPDYS_A,"How many days did you/adults in the family cut the sizeof meals or skip meals"
607,FDSLESS_A,Eat less than should
608,FDSHUNGRY_A,Ever hungry because not enough money for food
609,FDSWEIGHT_A,Lose weight because not enough money for food
610,FDSNOTEAT_A,not eat for a whole day
611,FDSNEDAYS_A,How many days not eat
612,FDSCAT3_A,Adult 3 category food security recode
613,FDSCAT4_A,Adult  4 category food security recode
614,HOUYRSLIV_A,Length of time in house/apartment
615,HOUTENURE_A,Residence owned/rented
616,HOUGVASST_A,Paying lower rent
