,Variable Name,Description
543,COMBAT_A,Ever served abroad during armed conflict
544,VADISB_A,Have VA disability rating
545,VAHOSP_A,Receive care at VA facility
546,VACAREEV_A,Ever use VA health care
547,NATUSBORN_A,Born in U.S. or U.S. territory
548,YRSINUS_A,Years that sample adult has been in the United States
549,CITZNSTP_A,Citizenship status
550,SCHCURENR_A,Currently in school
551,SCHDYMSSTC_A,"Days missed due to illness/injury, past 12 m"
552,EMPWRKLSW1_A,Worked last week
553,EMPWHYNOT_A,Main reason not working
554,EMPLSTWOR1_A,Last time worked for pay
555,EMPWKHRS3_A,Hours worked per week (topcoded for Public Use)
556,EMPWRKFT1_A,Usually work 35+ hours per week
557,EMPSICKLV_A,Paid sick leave
558,EMPHEALINS_A,Health insurance offered
559,EMPDYSMSS3_A,"Days missed work, past 12 months (top-coded)"
560,EMDINDSTN1_A,Detailed 2-digit recode for sample adult's industry
561,EMDINDSTN2_A,Simple 2-digit recode for sample adult's industry
562,EMDOCCUPN1_A,Detailed 2-digit recode for sample adult's occupation
563,EMDOCCUPN2_A,Simple 2-digit recode for sample adult's occupation
564,EMDSUPER_A,Supervise other employees
565,EMDWRKCAT1_A,Type of main job
566,JOBTAX_A,Does employer deduct taxes?
567,JOBCHGEARN_A,How much do your earnings change monthly
568,JOBSHIFT_A,Usual hours of main job
569,JOBCHGSCH_A,How easy to change work schedule
570,JOBVARYSCH_A,How much does schedule vary
571,JOBADVSCH_A,Advance notice of work schedule
572,JOBLKYLOSS_A,Likely job loss
573,JOBWRKSICK_A,Days worked while sick
574,JOBMISS_A,Days of work missed while sick
575,CURJOBSD1_A,Current job - Social distancing at work
576,WRKCLSSD1_A,"Current job - Work close to others with socialdistancing in effect"
577,WRKCLSNSD1_A,"Current job - Work close to others when socialdistancing not in effect"
578,WRKCLSOFT1_A,Current job - How often work close to others
579,SDMSRS1_A,"Current job - Social distancing measures sincecoronavirus pandemic"
580,SDMSRSOFT1_A,"Current job - Work close to others when socialdistancing measures in effect"
581,RECJOBSD1_A,Recent job - Social distancing at work
582,JOBANYSD1_A,Current or recent job - Social distancing at any time
583,RJCLSSD1_A,"Recent job - Work close to others with social distancingin effect"
584,CLSWRKSD1_A,"Current or recent job - Work close to others with socialdistancing in effect"
585,RJCLSNOSD1_A,"Recent job - Work close to others when social distancingnot in effect"
586,RJCLSOFT1_A,Recent job - How often work close to others
587,CLSWRKNOS1_A,"Current or recent job - Work close to others when nosocial distancing measures"
588,PCNTADTWKP_A,"Number of adults in sample adult's family who areworking"
589,PCNTADTWFP_A,"Number of adults in sample adult's family who areworking full-time"
590,INCWRKO_A,Income from wages
591,INCINTER_A,Income from accounts
592,INCSSRR_A,Income from SS/Railroad Retirement
593,INCSSISSDI_A,Family income from SSDI
594,SSISSDIBTH_A,Which family income SSI/SSDI
595,SSISSDIDSB_A,SSI/SSDI due to disability
596,INCWELF_A,Income from public assistance
597,INCRETIRE_A,Income from retirement
598,INCOTHR_A,Income from other sources
599,IMPNUM_A,Imputation number
600,POVRATTC_A,SA family poverty ratio (top-coded)
601,RATCAT_A,"Ratio of family income to poverty threshold for SA'sfamily"
602,IMPINCFLG_A,Imputed SA family income imputation flag
603,FSNAP12M_A,"Receive food stamps, past 12m"
604,FSNAP30D_A,"Receive food stamps, past 30d"
605,FWIC12M_A,"Receive WIC benefits, past 12m"
606,FLUNCH12M_A,Receive free/reduced meals at school
607,FDSRUNOUT_A,Worry food would run out
608,FDSLAST_A,Food didn't last
609,FDSBALANCE_A,Couldn't afford to eat balanced meals
610,FDSSKIP_A,Cut the size of meals or skip meals
611,FDSSKIPDYS_A,"How many days did you/adults in the family cut the sizeof meals or skip meals"
612,FDSLESS_A,Eat less than should
613,FDSHUNGRY_A,Ever hungry because not enough money for food
614,FDSWEIGHT_A,Lose weight because not enough money for food
615,FDSNOTEAT_A,not eat for a whole day
616,FDSNEDAYS_A,How many days not eat
617,FDSCAT3_A,Adult 3 category food security recode
618,FDSCAT4_A,Adult  4 category food security recode
619,HOUYRSLIV_A,Length of time in house/apartment
620,HOUTENURE_A,Residence owned/rented
621,HOUGVASST_A,Paying lower rent
