,Variable Name,Description
503,ARX12_1,"Skipped medication doses to save money, past 12 m"
504,ARX12_2,"Took less medicine to save money, past 12 m"
505,ARX12_3,"Delayed filling a prescription to save money, past 12 m"
506,ARX12_4,"Asked doctor for lower cost medication to save money, past 12 m"
507,ARX12_5,"Bought prescription drugs from another country to save money, past 12 m"
508,ARX12_6,"Used alternative therapies to save money, past 12 m"
509,ADNLONG2,Time since last saw a dentist
510,AHCSYR1,"Seen/talked to mental health professional, past 12 m"
511,AHCSYR2,"Seen/talked to eye doctor, past 12 m"
512,AHCSYR3,"Seen/talked to foot doctor, past 12 m"
513,AHCSYR4,"Seen/talked to a chiropractor, past 12 m"
514,AHCSYR5,"Seen/talked to therapist (PT/OT/etc.), past 12 m"
515,AHCSYR6,"Seen/talked to a NP/PA/midwife, past 12 m"
516,AHCSYR7,"Seen/talked to OB/GYN, past 12 m"
517,AHCSYR8,"Seen/talked to a medical specialist, past 12 m"
518,AHCSYR9,"Seen/talked to a general doctor, past 12 m"
519,AHCSYR10,Doctor treats both kids and adults
520,AHERNOY2,"# times in ER/ED, past 12 m"
521,AHCHYR,"Received home care from health professional, past 12 m"
522,AHCHMOYR,"# months of home care, past 12 m"
523,AHCHNOY2,Total number of home visits
524,AHCNOYR2,"Total number of office visits, past 12 m"
525,ASRGYR,"Surgery/surgical procedure, past 12 m"
526,ASRGNOYP,"# of surgeries, past 12 m"
527,AMDLONGR,Time since last seen/talked to health professional
528,HIT1A,"Looked up health information on Internet, past 12 m"
529,HIT2A,"Filled a prescription on Internet, past 12 m"
530,HIT3A,"Scheduled medical appointment on Internet, past 12 m"
531,HIT4A,"Communicated with health care provider by email, past 12 m"
532,FLUVACYR,"Flu vaccination, past 12 m"
533,FLUVACTP,Administration method of most recent flu vaccine
534,FLUVAC_M,Month of most recent flu vaccine
535,FLUVAC_Y,Year of most recent flu vaccine
536,FLUSHPG1,"Flu shot before/during current pregnancy, interviewed Jan-Mar or Aug-Dec,"
537,FLUSHPG2,Flu shot before/during/after a pregnancy
538,SHTPNUYR,Pneumonia shot (EVER)
539,SHPNEUNP,Number of pneumonia shots
540,APOX,Ever had chickenpox
541,APOX12MO,"Chickenpox, past 12 m"
542,AHEP,Ever had hepatitis
543,AHEPLIV,Ever lived w/ someone w/ hepatitis
544,SHTHEPB,Hepatitis B vaccine (EVER)
545,SHEPDOS,# doses of hepatitis B vaccine received
546,SHTHEPA,Hepatitis A vaccine (EVER)
547,SHEPANOP,# shots of hepatitis A vaccine received
548,SHINGLE1,Had a vaccine for shingles
549,ZOSTAVAX,Ever had Zostavax vaccine
550,ZOSTAYRP,Year of Zostavax vaccine
551,ZOSTAWHN,Zostavax in 2018 or before
552,SHINGRIX,Ever had Shingrix vaccine
553,SHINGRNB,Number of Shingrix shots
554,SHINGYRP,Year of Shingrix vaccine
555,SHINGWHN,Shingrix in 2018 or before
556,SHTTD,Tetanus shot in the past 10 years
557,SHTTDAP2,Vaccine included pertussis/whooping cough
558,SHTHPV2,Ever received HPV shot/vaccine
559,SHPVDOSP,Number of HPV shots received
560,AHPVAGE,Age at first HPV shot
561,LIVEV,Ever told you had any kind of chronic/long-term liver condition
562,TRAVEL,"Ever traveled outside USA since 1995 (Excluding EUR, JPN, AUS, NZL, and"
563,WRKHLTH2,Work or volunteer in a health care setting
564,WRKDIR,Direct contact with patients
565,APSBPCHK,"Blood pressure checked by doctor/nurse/health professional, past 12 m"
566,APSCHCHK,"Cholesterol checked by doctor/nurse/health professional, past 12 m"
567,APSBSCHK,"Fasting test for high blood sugar/diabetes, past 12 m"
568,ASICPUSE,How often do you use a computer
569,ASISATHC,"How satisfied with health care, past 12 mo"
570,ASITENUR,Length of time living in neighborhood
571,ASINHELP,Agree/disagree...people in neighborhood help each other
572,ASINCNTO,Agree/disagree...people I count on in neighborhood
573,ASINTRU,Agree/disagree...people in neighborhood can be trusted
574,ASINKNT,Agree/disagree...close-knit neighborhood
575,ASISIM,How you think of yourself (sexual orientation; male)
576,ASISIF,How do you think of yourself (sexual orientation; female)
577,ASIRETR,How worried are you about...money for retirement
578,ASIMEDC,How worried are you about...medical costs of illness/accident
579,ASISTLV,How worried are you about...maintaining standard of living
580,ASICNHC,How worried are you about...medical costs of healthcare
581,ASICCOLL,How worried are you about...paying for children's college
582,ASINBILL,How worried are you about...paying monthly bills
583,ASIHCST,How worried are you about...paying rent/mortgage/housing costs
584,ASICCMP,How worried are you about...credit card payments
585,ASISLEEP,Hours of sleep
586,ASISLPFL,"# times having trouble falling asleep, past week"
587,ASISLPST,"# times having trouble staying asleep, past week"
588,ASISLPMD,"# times taking medication for sleep, past week"
589,ASIREST,"Days woke up feeling rested, past week"
590,ASISAD,"So sad nothing cheers you up, past 30 days"
591,ASINERV,"How often felt nervous, past 30 days"
592,ASIRSTLS,"How often restless/fidgety, past 30 days"
593,ASIHOPLS,"How often felt hopeless, past 30 days"
594,ASIEFFRT,"How often felt everything was an effort, past 30 days"
595,ASIWTHLS,"How often felt worthless, past 30 days"
596,ASIMUCH,"Feelings interfered w/ life, past 30 days"
597,ASIHIVT,Ever been tested for HIV
598,ASIHIVWN,Main reason not tested for HIV
599,PAPHAD1,Ever had Pap smear/Pap test
600,RPAP1_M1,Month of most recent Pap test
601,RPAP1Y1,Year of most recent Pap test
602,RPAP1N1,Time ago date of most recent Pap test: # of units
603,RPAP1T1,Time ago date of most recent Pap test:  Time unit
604,RPAP21,"Most recent Pap test, time categories"
605,RPAP3A1,"Most recent Pap test, time categories (using 2005 method)"
606,RPAP3B1,"Most recent Pap test, time categories (using 2000 method)"
607,HPVPAP,Had HPV test with Pap test
608,PAPABN3,Had abnormal Pap test results in last 3 years
609,PAPNOT2,Most important reason never had Pap or HPV test
610,HYST,Ever had a hysterectomy
611,MAMHAD,Ever had a mammogram
612,RMAM1_MT,Month of most recent mammogram
613,RMAM1YR,Year of most recent mammogram
614,RMAM1N,Time ago date of most recent mammogram: # of units
615,RMAM1T,Time ago date of most recent mammogram: Time unit
616,RMAM2,"Most recent mammogram, time categories"
617,RMAM3A,"Most recent mammogram, time categories (using 2005 method)"
618,RMAM3B,"Most recent mammogram, time categories (using 2000 method)"
619,MAMPAY,Paid for mammogram out of pocket
620,MAMREAS,Main reason for most recent mammogram
621,MAMABN1,Recommended to have more tests after most recent mammogram
622,MFOLLOW0,No follow up tests to mammogram
623,MFOLLO01,Ultrasound follow up test to mammogram
624,MFOLLO02,Breast MRI follow up test to mammogram
625,MFOLLO03,Additional mammogram follow up tests to mammogram
626,MFOLLO04,Biopsy follow up tests to mammogram
627,MFOLLO05,Other tests as follow up tests to mammogram
628,MAMNOT1,Reason for no mammogram in the past 2 years
629,PSAHAD,Ever had a PSA test
630,RPSA1_MT,Month of most recent PSA test
631,RPSA1YR,Year of most recent PSA test
632,RPSA1N,Time ago date of most recent PSA test: # of units
633,RPSA1T,Time ago date of most recent PSA test: Time unit
634,RPSA2,"Most recent PSA test, time categories"
635,RPSA3A,"Most recent PSA test, time categories (using 2005 method)"
636,RPSA3B,"Most recent PSA test, time categories (using 2000 method)"
637,PSAREAS,Main reason for most recent PSA test
638,PSASUGG,Who suggested PSA test
639,PSA_5YR,Number of PSA tests in last 5 years
640,PSAADV,Doctor talked to you about advantages of PSA test
641,PSADISAV,Doctor talked to you about disadvantages of PSA test
642,COLHAD,Ever had a colonoscopy
643,COL_MT,Month of most recent colonoscopy
644,COLYR,Year of most recent colonoscopy
645,COLN,Time ago date of most recent colonoscopy: # of units
646,COLT,Time ago date of most recent colonoscopy: Time unit
647,COL2,"Most recent colonoscopy, time categories"
648,COL3A,"Most recent colonoscopy, time categories (using 2005 method)"
649,COL3B,"Most recent colonoscopy, time categories (using 2000 method)"
650,COLREAS,Main reason for most recent colonoscopy
651,COLPAY,Amount paid out of pocket for recent colonoscopy
652,SIGHAD,Ever had a Sigmoidoscopy
653,SIG_MT,Month of most recent Sigmoidoscopy
654,SIGYR,Year of most recent Sigmoidoscopy
655,SIGN,Time ago date of most recent Sigmoidoscopy: # of units
656,SIGT,Time ago date of most recent Sigmoidoscopy: Time unit
657,SIG2,"Most recent Sigmoidoscopy, time categories"
658,SIG3A,"Most recent Sigmoidoscopy, time categories (using 2005 method)"
659,SIG3B,"Most recent Sigmoidoscopy, time categories (using 2000 method)"
660,CTHEARD,Ever heard of CT colonography or virtual colonoscopy
661,CTHADEV,Ever had a CT colonography or virtual colonoscopy
662,CT_MT,Month of most recent CT colonography or virtual colonoscopy
663,CTYR,Year of most recent CT colonography or virtual colonoscopy
664,CTN,Time ago date of most recent CT colonography or virtual colonoscopy: # of
665,CTT,Time ago date of most recent CT colonography or virtual colonoscopy: Time
666,CT2,"Most recent CT colonography or virtual colonoscopy, time categories"
667,CT3A,"Most recent CT colonography/virtual colonoscopy, time categories (2005"
668,CT3B,"Most recent CT colonography/virtual colonoscopy, time categories (2000"
669,COLTOLD,Doctor told about blood stool or occult tests
670,HFOBHAD1,Had blood stool test using home test kit
671,RHFO2_MT,Month of last home blood stool or FIT test
672,RHFO2YR,Year of last home blood stool or FIT test
673,RHFO2N,Time (number format) since last home blood stool or FIT test
674,RHFO2T,Time period since last home blood stool or FIT test
675,RHFO2,"Most recent home blood stool test, time categories"
676,RHFOB3A,"Most recent home blood stool test, time categories (using 2005 method)"
677,RHFOB3B,"Most recent home blood stool test, time categories (using 2000 method)"
678,COLGDHAD,Ever had a Cologuard test
679,COLGDPRT,Home blood stool/FIT test part of a Cologuard test
680,COLGD_MT,Month of most recent Cologuard test
681,COLGDYR,Year of most recent Cologuard test
682,COLGDN,Time ago date of most recent Cologuard test: # of units
683,COLGDT,Time ago date of most recent Cologuard test: Time unit
684,COLGD2,"Most recent Cologuard test, time categories"
685,RCGD3A,"Most recent Cologuard exam, time categories (using 2005 method)"
686,COLPROB2,Doctor recommend test for colon or rectum problems
687,COLKIN01,Recommended stool blood test/fecal occult blood test
688,COLKIN02,Recommended Cologuard/FIT DNA test
689,COLKIN03,Recommended sigmoidoscopy
690,COLKIN04,Recommended colonoscopy
691,COLKIN06,Recommended other test
692,COLKIN05,Recommended CT colonography/virtual colonoscopy
693,VIS_0,Does respondent wear glasses?
694,VIS_SS2,Degree of difficulty seeing
695,HEAR_1R,Do you use a hearing aid?
696,HEAR_2R,How often do you use a hearing aid?
697,HEAR_SS2,Degree of difficulty hearing
698,HEAR_3,Difficulty hearing conversation with one person in quiet room
699,HEAR_4,Diff hearing one person in noisier room even w/ hearing aid
700,MOB_SS2,Degree of difficulty walking or climbing steps
701,MOB_2R,Use equipment or receive help for getting around?
702,MOB_3A,Use cane or walking stick?
703,MOB_3B2,Use a walker or Zimmer frame?
704,MOB_3C,Use crutches?
705,MOB_3D2,Use a wheelchair or scooter?
706,MOB_3E2,Use artificial limb (leg/foot)?
707,MOB_3F,Use someone's assistance?
708,MOB_3G,Use other type of equipment or help?
709,MOB_4,Diff walking 100 yards on level ground w/o aid or equipment
710,MOB_5,Diff walking 1/3rd mile on level ground w/o aid or equipment
711,MOB_6,Diff walking up or down 12 steps w/o aid or equipment
712,MOB_7,Diff walking 100 yards on level ground w/ aid or equipment
713,MOB_8,Diff walking 1/3rd mile on level ground w/ aid or equipment
714,COM_SS,Degree of difficulty communicating using usual language
715,COM_2,Use sign language?
716,COG_SS,Degree of difficulty remembering or concentrating
717,COG_1,"Difficulty remembering, concentrating, or both?"
718,COG_2,How often have difficulty remembering?
719,COG_3,Amount of things you have difficulty remembering?
720,COGCAUS2,Main reason for difficulty remembering or concentrating?
721,UB_SS,Degree of difficulty with self-care
722,UB_1,Diff raising 2 liter bottle of water from waist to eye level
723,UB_2,Degree of difficulty using hands and fingers
724,ANX_1,"How often feel worried, nervous, or anxious?"
725,ANX_2,"Take medication for worried, nervous, or anxious feelings?"
726,ANX_3R,"Level of feelings when last felt worried, nervous, or anxious?"
727,DEP_1,How often do you feel depressed?
728,DEP_2,Take medication for depression?
729,DEP_3R,How depressed you felt last time you were depressed?
730,PAIN_2A,Frequency of pain in past 3 months
731,PAIN_4,How much pain you had last time you had pain?
732,TIRED_1,How often felt very tired or exhausted in past 3 months
734,TIRED_2,How long most recent tired or exhausted feelings lasted?
735,TIRED_3,Level of tiredness last time felt very tired or exhausted
736,RCS_AFD,Record completion status
737,AWEBUSE,Internet use
738,AWEBOFNO,Frequency internet use: # of units
739,AWEBOFTP,Frequency internet use: Time units
740,AWEBEML,Email use
741,AWEBMNO,Frequency email use: # of units
742,AWEBMTP,Frequency email use: Time units
743,Sample Adult,742
